lu_cdl	lu_nlcd	group
42		smveg
44		smveg
47		smveg
49		smveg
50		smveg
51		smveg
52		smveg
53		smveg
54		smveg
55		smveg
56		smveg
57		smveg
207		smveg
208		smveg
214		smveg
216		smveg
219		smveg
243		smveg
244		smveg
245		smveg
248		smveg
249		smveg
21		smgrain
22		smgrain
23		smgrain
24		smgrain
25		smgrain
26		smgrain
27		smgrain
28		smgrain
29		smgrain
30		smgrain
31		smgrain
32		smgrain
33		smgrain
34		smgrain
35		smgrain
